City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
294,Evensk,RU,61.95,159.2333,30.47,91,92,2.48,overcast clouds
295,Henties Bay,NA,-22.116,14.2845,63.54,70,5,6.02,clear sky
296,Zhigansk,RU,66.7697,123.3711,17.94,87,17,13.96,few clouds
297,Mao,ES,39.8885,4.2658,54.16,94,0,4.61,clear sky
298,Homer,US,59.6425,-151.5483,52.03,72,0,11.5,clear sky
299,Yalutorovsk,RU,56.6536,66.3006,49.28,78,100,10.04,overcast clouds
300,Pinawa,CA,50.1489,-95.8811,29.26,90,26,2.75,scattered clouds
301,Lakes Entrance,AU,-37.8811,147.981,63.16,61,100,3.96,overcast clouds
302,Viedma,AR,-40.8135,-62.9967,61.25,31,100,15.68,overcast clouds
303,La Primavera,CO,5.4906,-70.4092,79.66,79,100,6.8,overcast clouds
304,Perelyub,RU,51.8667,50.3667,57.81,65,100,13.67,overcast clouds
305,Kalga,RU,50.9251,118.898,39.6,28,9,12.93,clear sky
306,Ashqelon,IL,31.6693,34.5715,63.82,80,89,5.23,overcast clouds
307,Wagar,SD,16.1525,36.2032,87.93,15,100,4.54,overcast clouds
308,Korla,CN,41.7597,86.1469,55.27,47,0,15.68,clear sky
309,Batagay-Alyta,RU,67.8006,130.4114,15.35,82,100,3.04,overcast clouds
310,Panalingaan,PH,8.7842,117.4231,80.46,81,100,1.7,overcast clouds
311,Kudahuvadhoo,MV,2.6708,72.8944,83.46,72,27,1.77,scattered clouds
312,Ponta Do Sol,PT,32.6667,-17.1,61.72,62,0,2.84,clear sky
313,Tororo,UG,0.693,34.1809,64.44,96,100,7.7,moderate rain
314,Sharanga,RU,57.1775,46.5396,48.72,95,100,5.91,moderate rain
315,De-Kastri,RU,51.4667,140.7833,31.89,97,100,14.58,snow
316,Sao Gabriel Da Cachoeira,BR,-0.1303,-67.0892,72.37,99,100,1.41,light rain
317,Kahului,US,20.8947,-156.47,84.22,66,20,21.85,few clouds
318,Eyl,SO,7.9803,49.8164,80.15,78,99,6.6,overcast clouds
319,Monzon,ES,41.9108,0.1941,58.42,60,76,2.86,broken clouds
320,Adelaide,AU,-34.9333,138.6,70.16,71,75,6.91,broken clouds
321,Khoy,IR,38.5504,44.9535,55.33,76,55,2.21,broken clouds
322,Dubasari,MD,47.2631,29.1608,53.29,71,83,5.82,light rain
323,Strai,NO,58.2,7.9,38.1,66,100,5.75,overcast clouds
324,Grand-Santi,GF,4.25,-54.3833,73.76,99,96,2.13,moderate rain
325,Riberalta,BO,-10.9833,-66.1,79.95,76,80,2.1,broken clouds
326,Beloha,MG,-25.1667,45.05,72.27,90,100,12.93,overcast clouds
327,Batagay,RU,67.6333,134.6333,19.11,85,100,5.01,overcast clouds
328,Emerald,AU,-23.5333,148.1667,75.34,69,5,14.7,clear sky
329,Vila Franca Do Campo,PT,37.7167,-25.4333,65.19,92,22,10.2,few clouds
330,Chapais,CA,49.7834,-74.8492,28.18,92,100,5.55,overcast clouds
331,Sakakah,SA,29.9697,40.2064,71.06,39,25,5.93,scattered clouds
332,Namatanai,PG,-3.6667,152.4333,84.85,71,15,8.12,light rain
